getgid,getrandom,access,getdents64,fcntl,write,getcwd,geteuid,execve,dup,mmap,prctl,gettid,print,ioctl,openat,getuid,getegid,brk,pread64,isSorted,futex,close,exit_group,CPU Time (seconds)
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,28,4,0,18,216,1,0.01
1,4,2,48,1,4,3,1,1,3,126,6,1,0,142,214,1,1,27,4,0,18,215,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.17
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.07
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.07
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.07
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,28,4,0,18,216,1,0.07
1,4,2,48,1,4,3,1,1,3,126,6,1,0,142,214,1,1,28,4,0,18,215,1,0.07
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,24,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,24,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,25,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,25,4,0,18,216,1,0.71
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.8
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.71
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,9.8
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.64
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.26
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.84
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.06
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.01
1,4,2,48,5,6,3,1,1,3,126,6,1,0,147,215,1,1,27,4,0,18,218,1,0.01
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,28,4,0,18,216,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.01
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.01
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.47
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.01
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.01
1,4,1,20,1,1,2,1,1,3,27,0,0,0,28,42,1,1,7,4,0,1,42,1,0.01
